,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Computation_Time(ms),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
329,329,C1-C2-C5,12.450241,12627.977,C1-C2-C5-C15-C25,"(1, 2, 5, 15, 25)",C1-C2-C5-C15-C25,13.030000030994415,11996,12575.778484344482,2542.041063308716,18695.59597969055,1-2-5-15-25,29.797999999999995,13004.830000000002
330,330,C3-C4-C5,16.920364,13115.073,C3-C4-C5-C18-C20,"(3, 4, 5, 18, 20)",C3-C4-C5-C18-C20,12.5900000333786,11986,13675.302028656006,2940.1705265045166,33734.13872718811,3-4-5-18-20,28.626,13082.36
331,331,C4-C6-C7-C9,25.683483,14898.313,C4-C6-C7-C9-C17,"(4, 6, 7, 9, 17)",C4-C6-C7-C9-C17,12.890000641345978,11990,13280.343055725098,2677.964448928833,19685.921669006348,4-6-7-9-17,28.664,13307.68
332,332,C1-C3-C7-C9,25.099041,13799.843,C1-C3-C7-C9-C15,"(1, 3, 7, 9, 15)",C1-C3-C7-C9-C15,11.68000027537346,12000,13151.505947113035,2647.5167274475098,19417.951107025143,1-3-7-9-15,35.772,12798.079999999998
333,333,C2-C7-C8-C10,21.066732,14293.622,C2-C7-C8-C10-C19,"(2, 7, 8, 10, 19)",C2-C7-C8-C10-C19,13.130000233650208,11987,13032.010316848757,2644.5207595825195,19071.51937484741,2-7-8-10-19,25.728,13116.96
334,334,C3-C5-C9,15.932529,13362.0625,C3-C5-C9-C16-C24,"(3, 5, 9, 16, 24)",C3-C5-C9-C16-C24,12.530000507831572,11992,13125.156164169312,2641.131401062012,19459.55514907837,3-5-9-16-24,29.494,12736.239999999998
335,335,C5-C6-C9-C10,25.060959,15068.986,C5-C6-C9-C10-C19,"(5, 6, 9, 10, 19)",C5-C6-C9-C10-C19,10.96000000834465,11991,13052.875280380247,2630.4495334625244,19375.317096710205,5-6-9-10-19,28.414,12904.24
336,336,C2-C9-C10,15.917801,13125.4795,C2-C9-C10-C18-C24,"(2, 9, 10, 18, 24)",C2-C9-C10-C18-C24,11.079999804496763,11981,13028.485774993896,2623.4655380249023,19177.808046340942,2-9-10-18-24,26.75,13139.870000000004
337,337,C1-C5-C10,13.70304,12465.857,C1-C5-C10-C20-C23,"(1, 5, 10, 20, 23)",C1-C5-C10-C20-C23,17.339999973773956,11992,13019.355297088625,2624.3386268615723,19164.30354118347,1-5-10-20-23,32.534,13073.69
338,338,C1-C4-C10,13.252368,12820.492,C1-C4-C10-C20-C23,"(1, 4, 10, 20, 23)",C1-C4-C10-C20-C23,13.62999975681305,11986,13004.132270812988,2654.66570854187,19162.066221237183,1-4-10-20-23,36.468,13362.97
339,339,C1-C4-C5-C10,23.672598,14684.398,C1-C4-C5-C10-C15,"(1, 4, 5, 10, 15)",C1-C4-C5-C10-C15,14.7599995136261,11989,13143.160343170166,2658.4508419036865,19473.28400611877,1-4-5-10-15,31.166,13167.740000000002
340,340,C1-C5-C6-C9,24.828861,13693.342,C1-C5-C6-C9-C18,"(1, 5, 6, 9, 18)",C1-C5-C6-C9-C18,11.20000034570694,11991,13073.132038116457,2629.591941833496,19352.72526741028,1-5-6-9-18,26.518,12765.34
