,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,Prediction_Time(s),New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Combination_Computation_Time(s),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
110,110,C2-C5-C8-C10,54.85810944330511,10285.084822103723,7.534027099609375e-05,C2-C5-C8-C10-C18,"(2, 5, 8, 10, 18)",C2-C5-C8-C10-C18,56.7300021648407,13979,8801.092624664307,1763.005256652832,12.171,2-5-8-10-18,82.60400000000001,8575.33
111,111,C2-C7-C8,46.16012271813292,8868.821708299378,7.414817810058594e-05,C2-C7-C8-C17-C19,"(2, 7, 8, 17, 19)",C2-C7-C8-C17-C19,56.23999834060669,13989,8816.848039627075,1774.649143218994,12.216,2-7-8-17-19,84.718,8421.12
112,112,C3-C9-C10,45.42715658583524,9679.894917974138,7.367134094238281e-05,C3-C9-C10-C19-C23,"(3, 9, 10, 19, 23)",C3-C9-C10-C19-C23,57.16000199317932,13995,8763.986349105835,1767.4081325531006,12.185,3-9-10-19-23,90.572,8446.73
113,113,C1-C5-C9,40.05556027880403,8564.869449215166,7.319450378417969e-05,C1-C5-C9-C23-C25,"(1, 5, 9, 23, 25)",C1-C5-C9-C23-C25,38.2999986410141,14000,8732.610702514648,1762.6945972442627,12.198,1-5-9-23-25,90.392,8541.08
114,114,C2-C5-C6,42.13535823463694,8806.993961040802,0.0001025199890136,C2-C5-C6-C23-C25,"(2, 5, 6, 23, 25)",C2-C5-C6-C23-C25,41.26000106334686,13989,8735.93544960022,1765.516757965088,12.198,2-5-6-23-25,79.16,8508.99
115,115,C2-C3-C8,46.43384065501905,8630.406189998212,7.724761962890625e-05,C2-C3-C8-C21-C23,"(2, 3, 8, 21, 23)",C2-C3-C8-C21-C23,41.839998960495,13989,8799.095630645752,1774.3229866027832,12.217,2-3-8-21-23,86.70599999999999,8417.91
116,116,C3-C4-C7-C10,51.487652027148286,10649.303430881671,7.43865966796875e-05,C3-C4-C7-C10-C17,"(3, 4, 7, 10, 17)",C3-C4-C7-C10-C17,44.99000012874603,13990,8821.298599243164,1791.330337524414,12.281,3-4-7-10-17,87.02000000000001,8435.439999999999
117,117,C3-C6-C10,38.6457508245009,9989.176307864112,7.414817810058594e-05,C3-C6-C10-C17-C24,"(3, 6, 10, 17, 24)",C3-C6-C10-C17-C24,31.130000948905945,13985,12830.81078529358,5522.814035415649,16.446,3-6-10-17-24,82.53999999999999,8432.69
118,118,C3-C7-C8,43.57125523614198,9495.620036079685,7.510185241699219e-05,C3-C7-C8-C17-C25,"(3, 7, 8, 17, 25)",C3-C7-C8-C17-C25,49.4599997997284,13995,9052.42681503296,1835.972785949707,12.481,3-7-8-17-25,88.88,8389.27
119,119,C1-C5-C8,41.05884584361947,8587.77254416725,7.486343383789062e-05,C1-C5-C8-C21-C25,"(1, 5, 8, 21, 25)",C1-C5-C8-C21-C25,46.0099995136261,13995,9075.973987579346,1832.026481628418,12.544,1-5-8-21-25,90.186,8547.91
