New_Combination,Predicted_Accuracy(%),Predicted_DataVolume,Predicted_Latency_Sum(ms),Predicted_RoundTime_Max(ms),Numerical_Combination,ZeroShot_Accuracy(%),ZeroShot_DataVolume,ZeroShot_Latency_Sum(ms),ZeroShot_RoundTime_Max(ms),Combo_Set,Historical_Combination,Historical_Accuracy,Historical_DataVolume,Historical_Latency,Historical_RoundTime
C5-C7-C9-C15-C22,10.199999809265137,11994,5697.953462600708,1761.8892192840576,5-7-9-15-22,12.826007,12467.357,66654.375,16402.033,"{'C5', 'C22', 'C15', 'C7', 'C9'}",C5-C9,16.840000450611115,4800.0,,15963.633060455322
C5-C7-C9-C15-C22,10.199999809265137,11994,5697.953462600708,1761.8892192840576,5-7-9-15-22,12.826007,12467.357,66654.375,16402.033,"{'C5', 'C22', 'C15', 'C7', 'C9'}",C7-C9,13.169999420642853,4800.0,,15963.633060455322
C5-C7-C9-C15-C22,10.199999809265137,11994,5697.953462600708,1761.8892192840576,5-7-9-15-22,12.826007,12467.357,66654.375,16402.033,"{'C5', 'C22', 'C15', 'C7', 'C9'}",C5-C7-C9,15.89999943971634,7200.0,,15963.633060455322
C2-C3-C5-C15-C24,9.939999878406525,11989,4954.164743423462,997.9805946350098,2-3-5-15-24,11.981858,11744.881,57715.055,14634.51,"{'C5', 'C15', 'C24', 'C2', 'C3'}",C2-C3,18.240000307559967,4795.0,,11675.539016723633
C2-C3-C5-C15-C24,9.939999878406525,11989,4954.164743423462,997.9805946350098,2-3-5-15-24,11.981858,11744.881,57715.055,14634.51,"{'C5', 'C15', 'C24', 'C2', 'C3'}",C2-C5,12.02000007033348,4795.0,,12506.68454170227
C2-C3-C5-C15-C24,9.939999878406525,11989,4954.164743423462,997.9805946350098,2-3-5-15-24,11.981858,11744.881,57715.055,14634.51,"{'C5', 'C15', 'C24', 'C2', 'C3'}",C3-C5,18.039999902248383,4800.0,,12506.68454170227
C2-C3-C5-C15-C24,9.939999878406525,11989,4954.164743423462,997.9805946350098,2-3-5-15-24,11.981858,11744.881,57715.055,14634.51,"{'C5', 'C15', 'C24', 'C2', 'C3'}",C2-C3-C5,12.00999990105629,7195.0,,12506.68454170227
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C1-C3,18.69000047445297,4800.0,,11987.98441886902
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C1-C6,18.950000405311584,4797.0,,11987.98441886902
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C1-C8,10.289999842643738,4796.0,,14680.899620056152
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C1-C9,18.320000171661377,4800.0,,15963.633060455322
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C3-C6,13.979999721050262,4797.0,,11017.77482032776
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C3-C8,13.48000019788742,4796.0,,14680.899620056152
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C3-C9,9.950000047683716,4800.0,,15963.633060455322
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C6-C8,15.440000593662262,4793.0,,14680.899620056152
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C6-C9,10.930000245571136,4797.0,,15963.633060455322
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C8-C9,23.98999929428101,4796.0,,15963.633060455322
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C1-C3-C6,17.87000000476837,7197.0,,11987.98441886902
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C1-C3-C8,12.229999899864197,7196.0,,14680.899620056152
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C1-C3-C9,14.12000060081482,7200.0,,15963.633060455322
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C1-C6-C8,10.260000079870224,7193.0,,14680.899620056152
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C1-C6-C9,15.530000627040865,7197.0,,15963.633060455322
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C1-C8-C9,10.639999806880953,7196.0,,15963.633060455322
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C3-C6-C8,10.80000028014183,7193.0,,14680.899620056152
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C3-C6-C9,9.4200000166893,7197.0,,15963.633060455322
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C3-C8-C9,13.580000400543211,7196.0,,15963.633060455322
C1-C3-C6-C8-C9,9.300000220537186,11990,4922.441720962524,1009.6874237060548,1-3-6-8-9,12.4607,12142.683,62054.31,15659.659,"{'C8', 'C1', 'C9', 'C6', 'C3'}",C6-C8-C9,12.950000166893004,7193.0,,15963.633060455322
C8-C9-C10-C21-C22,11.100000143051147,11985,5096.218109130859,1065.8340454101562,8-9-10-21-22,12.629153,12544.745,69217.07,16838.037,"{'C8', 'C22', 'C21', 'C9', 'C10'}",C8-C9,23.98999929428101,4796.0,,15963.633060455322
C8-C9-C10-C21-C22,11.100000143051147,11985,5096.218109130859,1065.8340454101562,8-9-10-21-22,12.629153,12544.745,69217.07,16838.037,"{'C8', 'C22', 'C21', 'C9', 'C10'}",C8-C10,13.619999587535858,4789.0,,14680.899620056152
C8-C9-C10-C21-C22,11.100000143051147,11985,5096.218109130859,1065.8340454101562,8-9-10-21-22,12.629153,12544.745,69217.07,16838.037,"{'C8', 'C22', 'C21', 'C9', 'C10'}",C9-C10,18.41000020503997,4793.0,,15963.633060455322
C8-C9-C10-C21-C22,11.100000143051147,11985,5096.218109130859,1065.8340454101562,8-9-10-21-22,12.629153,12544.745,69217.07,16838.037,"{'C8', 'C22', 'C21', 'C9', 'C10'}",C8-C9-C10,12.00999990105629,7189.0,,15963.633060455322
C2-C4-C9-C17-C21,12.349999696016312,11990,5086.798906326294,1055.0777912139893,2-4-9-17-21,11.34294,11956.927,60909.168,15458.315,"{'C4', 'C21', 'C17', 'C9', 'C2'}",C2-C4,11.540000140666962,4790.0,,11675.539016723633
C2-C4-C9-C17-C21,12.349999696016312,11990,5086.798906326294,1055.0777912139893,2-4-9-17-21,11.34294,11956.927,60909.168,15458.315,"{'C4', 'C21', 'C17', 'C9', 'C2'}",C2-C9,16.769999265670776,4795.0,,15963.633060455322
C2-C4-C9-C17-C21,12.349999696016312,11990,5086.798906326294,1055.0777912139893,2-4-9-17-21,11.34294,11956.927,60909.168,15458.315,"{'C4', 'C21', 'C17', 'C9', 'C2'}",C4-C9,13.680000603199003,4795.0,,15963.633060455322
